date,value
2019-02-01,-0.36700000000000005
2019-03-01,-0.3679
2019-04-01,-0.36700000000000005
2019-05-01,-0.3666
2019-06-01,-0.3616
2019-07-01,-0.3668
2019-08-01,-0.3612
2019-09-01,-0.4032
2019-10-01,-0.549597777777778
2019-11-01,-0.53915
2019-12-01,-0.540201
2020-01-01,-0.5374213636363641
2020-02-01,-0.5382235
2020-03-01,-0.535628636363636
2020-04-01,-0.5354685
2020-05-01,-0.540192
2020-06-01,-0.544465
2020-07-01,-0.549555652173913
2020-08-01,-0.552087619047619
2020-09-01,-0.552932727272727
2020-10-01,-0.5546409090909089
2020-11-01,-0.55621619047619
2020-12-01,-0.5563490909090911
2021-01-01,-0.5657645
2021-02-01,-0.563521
2021-03-01,-0.56376652173913
2021-04-01,-0.5660555
2021-05-01,-0.56470619047619
2021-06-01,-0.5641259090909089
2021-07-01,-0.566522272727273
2021-08-01,-0.5681
2021-09-01,-0.569360454545455
2021-10-01,-0.570412857142857
2021-11-01,-0.573237272727273
2021-12-01,-0.576372173913044
2022-01-01,-0.5794657142857139
2022-02-01,-0.576333
2022-03-01,-0.577703043478261
2022-04-01,-0.583707368421053
2022-05-01,-0.5847413636363641
2022-06-01,-0.5826240909090911
2022-07-01,-0.571064285714286
2022-08-01,-0.0946521739130435
2022-09-01,0.254584090909091
2022-10-01,0.655378571428571
2022-11-01,1.2666195454545501
2022-12-01,1.50396476190476
2023-01-01,1.9013118181818203
2023-02-01,2.2006419999999998
2023-03-01,2.50836391304348
2023-04-01,2.89908111111111
2023-05-01,3.04630909090909
2023-06-01,3.20459045454545
2023-07-01,3.40326333333333
2023-08-01,3.61036652173913
2023-09-01,3.7125219047619
2023-10-01,3.9010604545454504
2023-11-01,3.9027436363636405
2023-12-01,3.90344210526316
2024-01-01,3.90264954545455
